id,chat_id,user_id,selected_path,decision_mode,prompt_version,art_affinity_score,created_at,user_msg_count,avg_user_msg_len,art_kw_count,confusion_kw_count,first_user_ts,last_user_ts,assistant_msg_count,avg_output_tokens,conversation_span_minutes,followup_depth_proxy,art_keyword_ratio,confusion_ratio,activate_art_path,source_user_id,is_synthetic
label_chat_00001,chat_00001,user_0001,default,manual,default_v3,0.268,1768415028000,3,43.0,1,0,1768414740000.0,1768415017000.0,3,206.66666666666663,4.616666666666666,2,0.3333333333333333,0.0,0,user_0001,0
label_chat_00002,chat_00002,user_0001,default,manual,default_v3,0.432,1768613939000,4,40.5,2,0,1768613340000.0,1768613923000.0,4,162.75,9.716666666666669,3,0.5,0.0,0,user_0001,0
label_chat_00003,chat_00003,user_0001,default,manual,default_v3,0.411,1768971064000,4,43.25,1,0,1768970640000.0,1768971047000.0,4,172.75,6.783333333333333,3,0.25,0.0,0,user_0001,0
label_chat_00004,chat_00004,user_0001,default,manual,default_v3,0.3,1769232522000,3,43.333333333333336,1,0,1769232300000.0,1769232507000.0,3,176.33333333333334,3.45,2,0.3333333333333333,0.0,0,user_0001,0
label_chat_00005,chat_00005,user_0001,default,manual,default_v3,0.422,1769333042000,4,39.75,2,0,1769332320000.0,1769333032000.0,4,142.5,11.866666666666667,3,0.5,0.0,0,user_0001,0
label_chat_00006,chat_00006,user_0002,default,manual,default_v3,0.346,1773703207000,5,38.0,1,0,1773702600000.0,1773703193000.0,5,190.2,9.883333333333333,4,0.2,0.0,0,user_0002,0
label_chat_00007,chat_00007,user_0002,default,manual,default_v3,0.238,1773901085000,5,40.4,0,0,1773900300000.0,1773901067000.0,5,180.2,12.783333333333331,4,0.0,0.0,0,user_0002,0
label_chat_00008,chat_00008,user_0002,default,manual,default_v3,0.25,1774174369000,3,50.0,0,0,1774173960000.0,1774174352000.0,3,207.0,6.533333333333333,2,0.0,0.0,0,user_0002,0
label_chat_00009,chat_00009,user_0002,default,manual,default_v3,0.218,1774283761000,4,44.75,0,0,1774283040000.0,1774283749000.0,4,209.5,11.816666666666666,3,0.0,0.0,0,user_0002,0
label_chat_00010,chat_00010,user_0003,default,manual,default_v3,0.282,1773013933000,5,38.0,0,1,1773013260000.0,1773013918000.0,5,156.4,10.966666666666669,4,0.0,0.2,0,user_0003,0
