id,chat_id,user_id,selected_path,decision_mode,prompt_version,art_affinity_score,created_at
label_chat_00001,chat_00001,user_0001,default,manual,default_v3,0.268,1768415028000
label_chat_00002,chat_00002,user_0001,default,manual,default_v3,0.432,1768613939000
label_chat_00003,chat_00003,user_0001,default,manual,default_v3,0.411,1768971064000
label_chat_00004,chat_00004,user_0001,default,manual,default_v3,0.3,1769232522000
label_chat_00005,chat_00005,user_0001,default,manual,default_v3,0.422,1769333042000
label_chat_00006,chat_00006,user_0002,default,manual,default_v3,0.346,1773703207000
label_chat_00007,chat_00007,user_0002,default,manual,default_v3,0.238,1773901085000
label_chat_00008,chat_00008,user_0002,default,manual,default_v3,0.25,1774174369000
label_chat_00009,chat_00009,user_0002,default,manual,default_v3,0.218,1774283761000
label_chat_00010,chat_00010,user_0003,default,manual,default_v3,0.282,1773013933000
label_chat_00011,chat_00011,user_0003,art,manual,art_v3,0.682,1773206380000
label_chat_00012,chat_00012,user_0003,default,manual,default_v3,0.258,1773298249000
label_chat_00013,chat_00013,user_0003,art,manual,art_v3,0.753,1773654756000
label_chat_00014,chat_00014,user_0003,art,manual,art_v3,0.759,1774010319000
label_chat_00015,chat_00015,user_0004,default,manual,default_v3,0.257,1769727299000
label_chat_00016,chat_00016,user_0004,default,manual,default_v3,0.236,1770081641000
label_chat_00017,chat_00017,user_0004,default,manual,default_v3,0.208,1770193263000
label_chat_00018,chat_00018,user_0004,default,manual,default_v3,0.229,1770477479000
label_chat_00019,chat_00019,user_0004,default,manual,default_v3,0.302,1770751602000
label_chat_00020,chat_00020,user_0005,default,manual,default_v3,0.316,1774549742000
label_chat_00021,chat_00021,user_0005,default,manual,default_v3,0.331,1774747297000
label_chat_00022,chat_00022,user_0005,default,manual,default_v3,0.359,1774852435000
label_chat_00023,chat_00023,user_0005,default,manual,default_v3,0.393,1774949580000
label_chat_00024,chat_00024,user_0005,default,manual,default_v3,0.445,1775391533000
label_chat_00025,chat_00025,user_0006,default,manual,default_v3,0.233,1773342911000
label_chat_00026,chat_00026,user_0006,default,manual,default_v3,0.309,1773779357000
label_chat_00027,chat_00027,user_0006,default,manual,default_v3,0.246,1774143460000
label_chat_00028,chat_00028,user_0006,default,manual,default_v3,0.223,1774415711000
label_chat_00029,chat_00029,user_0006,default,manual,default_v3,0.236,1774689486000
label_chat_00030,chat_00030,user_0007,art,manual,art_v3,0.807,1771092837000
label_chat_00031,chat_00031,user_0007,art,manual,art_v3,0.688,1771543555000
label_chat_00032,chat_00032,user_0007,default,manual,default_v3,0.253,1771645484000
label_chat_00033,chat_00033,user_0007,art,manual,art_v3,0.759,1772015406000
label_chat_00034,chat_00034,user_0007,art,manual,art_v3,0.761,1772213925000
label_chat_00035,chat_00035,user_0007,art,manual,art_v3,0.814,1772572517000
label_chat_00036,chat_00036,user_0008,default,manual,default_v3,0.169,1772316615000
label_chat_00037,chat_00037,user_0008,default,manual,default_v3,0.25,1772603040000
label_chat_00038,chat_00038,user_0008,default,manual,default_v3,0.26,1772879081000
label_chat_00039,chat_00039,user_0008,default,manual,default_v3,0.336,1773229043000
label_chat_00040,chat_00040,user_0008,default,manual,default_v3,0.311,1773319499000
label_chat_00041,chat_00041,user_0008,default,manual,default_v3,0.225,1773580244000
label_chat_00042,chat_00042,user_0009,art,manual,art_v3,0.719,1772488244000
label_chat_00043,chat_00043,user_0009,default,manual,default_v3,0.254,1772669886000
label_chat_00044,chat_00044,user_0009,default,manual,default_v3,0.2,1772771561000
label_chat_00045,chat_00045,user_0009,art,manual,art_v3,0.82,1772862430000
label_chat_00046,chat_00046,user_0009,default,manual,default_v3,0.17,1772958182000
label_chat_00047,chat_00047,user_0009,default,manual,default_v3,0.162,1773061540000
label_chat_00048,chat_00048,user_0010,default,manual,default_v3,0.32,1772568646000
label_chat_00049,chat_00049,user_0010,default,manual,default_v3,0.295,1772926794000
label_chat_00050,chat_00050,user_0010,default,manual,default_v3,0.239,1773280095000
label_chat_00051,chat_00051,user_0010,default,manual,default_v3,0.286,1773472988000
label_chat_00052,chat_00052,user_0010,default,manual,default_v3,0.293,1773924163000
label_chat_00053,chat_00053,user_0010,default,manual,default_v3,0.32,1774119249000
label_chat_00054,chat_00054,user_0011,default,manual,default_v3,0.237,1768434183000
label_chat_00055,chat_00055,user_0011,default,manual,default_v3,0.259,1768873061000
label_chat_00056,chat_00056,user_0011,default,manual,default_v3,0.241,1769138144000
label_chat_00057,chat_00057,user_0011,default,manual,default_v3,0.349,1769402884000
label_chat_00058,chat_00058,user_0011,default,manual,default_v3,0.318,1769510993000
label_chat_00059,chat_00059,user_0012,art,manual,art_v3,0.715,1775072695000
label_chat_00060,chat_00060,user_0012,art,manual,art_v3,0.741,1775266628000
label_chat_00061,chat_00061,user_0012,default,manual,default_v3,0.236,1775714177000
label_chat_00062,chat_00062,user_0012,art,manual,art_v3,0.711,1776065595000
label_chat_00063,chat_00063,user_0013,default,manual,default_v3,0.343,1770932643000
label_chat_00064,chat_00064,user_0013,default,manual,default_v3,0.182,1771125758000
label_chat_00065,chat_00065,user_0013,default,manual,default_v3,0.167,1771496626000
label_chat_00066,chat_00066,user_0013,default,manual,default_v3,0.297,1771760147000
